"","drate_m","drate_c","nDT","LL","BIC","AIC","sub_nr"
"1",-0.247497826962242,0.397217799404784,0.444736367879933,1046.91926229098,2106.83072460283,2099.83852458197,104
"2",0.302923549079063,-0.00188144220857337,0.971288299932936,1146.97978124468,2307.74492203977,2299.95956248937,105
"3",0.644163619422249,-0.0935368760325457,0.855903504157445,1079.95470648248,2172.56793608048,2165.90941296495,108
"4",0.596252189110634,0.364743658421056,0.912765221146787,1029.46296310142,2071.79730452629,2064.92592620284,109
"5",-0.00433144579927052,0.0952566805646288,0.603368074549466,1017.20421028901,2047.51676413543,2040.40842057803,110
"6",0.282119658533101,0.433981578499382,0.755166585002414,1138.2285530902,2290.33202462025,2282.4571061804,111
"7",0.431467138422934,0.0341878431477773,1.25519135381019,959.161145381814,1931.88765649478,1924.32229076363,112
"8",0.364798900789622,0.218342109040885,1.14850149841231,1139.16055104484,2292.2542747871,2284.32110208968,113
"9",0.467435139334012,0.000334991495295534,0.723113085332509,1104.35725510553,2222.76090389243,2214.71451021105,114
"10",1.10777839024554,-0.225886634057057,0.845298891743425,968.443284147074,1950.21452206362,1942.88656829415,115
"11",1.96159985895872,-0.583836046107567,0.696951827788014,879.224338092511,1771.77662995449,1764.44867618502,117
"12",1.36661227000345,-0.243706744613873,1.00027583987377,966.408458402802,1946.24892724904,1938.8169168056,120
"13",0.102340240770059,0.176954441436286,0.988631934107846,1138.91091998579,2292.03043531676,2283.82183997157,121
"14",0.247919916799954,0.245845594448281,1.154798556518,994.756416521525,2002.3842113665,1995.51283304305,122
"15",0.809995783289708,-0.235396117461883,0.670422566658795,896.759293039411,1806.70193354284,1799.51858607882,124
"16",0.481495444200185,-0.207603179446588,0.712624162550371,1103.90455673304,2221.53324640159,2213.80911346608,125
"17",0.0541548612869087,0.172944804793709,0.309808850597818,1081.73333455606,2177.67526445731,2169.46666911213,126
"18",0.907630033853372,-0.111614098430006,0.85244547851458,1002.74129362524,2018.94849635967,2011.48258725048,127
"19",0.730858867254953,-0.162322712475394,1.14070629145702,1082.5142852858,2178.59393630274,2171.02857057159,130
"20",0.495199637096293,-0.0575240098875327,1.27521589768505,1117.96407768277,2249.55803971234,2241.92815536553,131
"21",0.294626647958454,-0.0386471572041766,1.19744951317533,1164.79808472201,2343.98354108081,2335.59616944402,133
"22",0.0520144921847408,0.283145299364584,0.476325233715843,1054.23339371832,2122.25214698705,2114.46678743665,134
"23",0.065671467618761,0.125152765693948,0.707017768987372,1118.9400859175,2250.21279342753,2243.88017183501,135
"24",-0.0232528476543555,0.0151655715436553,0.450512390145071,492.546078250507,996.945887656758,991.092156501014,137
"25",0.235869891349237,0.0649483766886042,0.427709302394704,875.449451545147,1764.04498299432,1756.89890309029,138
"26",0.14252388090581,0.243533445040241,0.560615096088194,1057.51426269319,2127.2611377181,2121.02852538638,139
"27",0.0901055286538408,0.0208287041496577,1.22158513310274,1096.44643541831,2206.8547518871,2198.89287083663,140
