"","drate_m","drate_c","lat_m","lat_c","LL","BIC","AIC","sub_nr"
"1",-0.198255245503234,-1.99794536189593,0.689550305844773,0.150955345238456,988.656010117935,1994.63495359702,1985.31202023587,104
"2",0.209271996341187,0.547463024313394,1.14585198055694,0.236058918181051,1135.03637260449,2288.45322460952,2278.07274520898,105
"3",1.08590375029607,-1.91718458828403,0.856336329578326,0.56517452442411,1031.32831404359,2079.53465890789,2070.65662808719,108
"4",0.585335908050088,1.97253756251586,1.06091542839732,0.609121038974863,994.011018984884,2005.18387573436,1996.02203796977,109
"5",0.316172164650169,-1.676282266538,1.53471831629952,0.952009133678066,980.298438324001,1978.07466805787,1968.596876648,110
"6",0.556796620800249,-1.9870834366417,1.02656353933916,0.387296275381667,1039.41208824969,2097.32406775251,2086.82417649937,111
"7",0.412804986900322,-0.554054532297942,1.22824960948099,1.86512672157814,956.337755785624,1930.76266587944,1920.67551157125,112
"8",0.573446731412728,-1.95656544335344,1.2861306280841,1.29935654811466,1083.70554975946,2185.9886631155,2175.41109951893,113
"9",0.470299552655058,-0.35430080270044,0.736452189048333,1.2946726616815,1100.60732914998,2219.94318320846,2209.21465829997,114
"10",1.4576566689587,-1.46611189614997,0.932532196502771,0.841530706462569,942.354569401748,1902.47974382946,1892.7091388035,115
"11",1.98788566789369,-1.99278880797564,0.69108945619236,0.819829307056629,859.049744965188,1735.87009495634,1726.09948993038,117
"12",1.50014251435046,-1.81239071072423,1.02206371877613,1.39081883875186,947.930479626285,1913.77030651048,1903.86095925257,120
"13",0.192799456164038,-1.86363080442026,1.20126025021368,1.36414955258032,1071.4940401726,2161.93287413877,2150.9880803452,121
"14",0.396195815882882,-1.4834068364409,1.33766836137063,0.989700705923881,951.956909424992,1921.07565661458,1911.91381884998,122
"15",0.882665032222955,-0.937575889193695,0.692559987568688,0.784609279571867,885.572151455328,1788.72209952935,1779.14430291066,124
"16",0.743576100096755,-1.94317369642222,0.860195010865063,0.816597146600142,1034.049654217,2086.39815234801,2076.099308434,125
"17",0.186756479296015,-1.47025469406373,0.699058766156949,0.428431640403385,1000.71194078801,2020.3686753696,2009.42388157602,126
"18",0.985623363917765,-0.785148567790912,0.874695431160618,0.594400599663467,987.052785532581,1992.06011654409,1982.10557106516,127
"19",0.762738601767284,-0.73339992571613,1.15249661498094,0.731087733338605,1068.1146502549,2154.316454818,2144.2293005098,130
"20",0.5705739833224,-0.962995506666353,1.30901798590845,1.23688949532149,1090.53781897271,2199.24881707449,2189.07563794541,131
"21",0.314723562312246,-0.505355334160916,1.21868253814896,0.849911307157227,1154.12516546714,2327.43349311667,2316.25033093429,133
"22",0.163806861118409,-1.99172743959697,0.177706447839168,0.72126230605858,982.619298529867,1983.61907646027,1973.23859705973,134
"23",0.307306654910106,-1.7647279024497,1.28410120540747,1.64611355700853,1088.28726703861,2193.0180295339,2184.57453407721,135
"24",0.363387347385344,-1.94965365061095,1.45348926999836,1.09463955079317,479.015667737331,973.836310348988,966.031335474662,137
"25",0.147121453406351,0.841675448374035,0.385056883089625,0.812754792481324,859.94790532623,1737.42391719116,1727.89581065246,138
"26",0.415145424800059,-1.84809068691619,0.820521182294934,0.7004155150608,1012.61922446975,2041.54859871512,2033.2384489395,139
"27",0.168021612505579,-0.480172776692353,1.1733034647716,0.606916057308784,1088.78826976374,2196.19238092812,2185.57653952749,140
